emotion_display,count,arousal_mean,arousal_std,arousal_min,arousal_max,dominance_mean,dominance_std,dominance_min,dominance_max,valence_mean,valence_std,valence_min,valence_max
기쁨(Happy),50,0.6301,0.0672,0.4398,0.7668,0.6374,0.0484,0.504,0.728,0.5267,0.1058,0.1995,0.7949
슬픔(Sad),50,0.3317,0.0845,0.1919,0.552,0.4233,0.0569,0.3292,0.5535,0.4033,0.1041,0.157,0.5814
분노(Angry),50,0.6,0.1105,0.3636,0.897,0.6354,0.0834,0.4562,0.8964,0.4624,0.1062,0.1848,0.6577
불안(Anxious),50,0.4684,0.0963,0.2118,0.6192,0.5239,0.0742,0.3229,0.6469,0.4264,0.1054,0.1151,0.6488
상처(Hurt),50,0.4196,0.09,0.2243,0.614,0.4997,0.0679,0.3306,0.6356,0.4305,0.1105,0.1282,0.6572
당황(Embarrassed),50,0.5546,0.1033,0.3282,0.772,0.5803,0.081,0.3768,0.7633,0.4804,0.0899,0.1993,0.6237
중립(Neutrality),50,0.4186,0.0917,0.1544,0.5821,0.5051,0.0716,0.2998,0.6382,0.4659,0.1049,0.2033,0.6417
